date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:38	72742/72742	---M--	200	added ('OK')	image/png	etag:%2266fcf2ac-11c26%22	https://aksh-ai.com/assets/img/starry_night.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/starry_night.png	(from https://aksh-ai.com/)
18:41:38	85193/85193	---M--	200	added ('OK')	image/png	etag:%2266fcf2ac-14cc9%22	https://aksh-ai.com/assets/img/image-sr.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/image-sr.png	(from https://aksh-ai.com/)
18:41:38	62721/62721	---M--	200	added ('OK')	image/png	etag:%2266fcf2ab-f501%22	https://aksh-ai.com/assets/img/neuralBlack.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/neuralBlack.png	(from https://aksh-ai.com/)
18:41:38	28647/28647	---M--	200	added ('OK')	image/png	etag:%2266fcf2ab-6fe7%22	https://aksh-ai.com/assets/img/third-eye.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/third-eye.png	(from https://aksh-ai.com/)
18:41:39	8655/8655	---M--	200	added ('OK')	image/png	etag:%2266fcf2ac-21cf%22	https://aksh-ai.com/assets/img/malware.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/malware.png	(from https://aksh-ai.com/)
18:41:39	30956/30956	---M--	200	added ('OK')	image/png	etag:%2266fcf2ac-78ec%22	https://aksh-ai.com/assets/img/stock-bot.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/stock-bot.png	(from https://aksh-ai.com/)
18:41:39	2027/2027	---M--	200	added ('OK')	image/png	etag:%2266fcf2ab-7eb%22	https://aksh-ai.com/assets/img/tofu.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/tofu.png	(from https://aksh-ai.com/)
18:41:39	124845/124845	---M--	200	added ('OK')	image/png	etag:%2266fcf2ab-1e7ad%22	https://aksh-ai.com/assets/img/contact.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/contact.png	(from https://aksh-ai.com/)
18:41:39	141834/141834	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266fcf2ac-22a0a%22	https://aksh-ai.com/assets/js/swiper-bundle.min.js	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/js/swiper-bundle.min.js	(from https://aksh-ai.com/)
18:41:40	6545/6545	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266fcf2ab-1991%22	https://aksh-ai.com/assets/js/main.js	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/js/main.js	(from https://aksh-ai.com/)
